Unit: dimensionless (ratio of electricity demand in this hour to annual demand),Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23
Winter,9.1001E-05,6.7285E-05,5.2226E-05,4.2467E-05,4.0400E-05,3.9828E-05,4.7098E-05,6.6898E-05,8.9644E-05,1.0326E-04,1.1172E-04,1.1331E-04,1.1387E-04,1.1785E-04,1.2124E-04,1.1028E-04,1.0651E-04,1.2418E-04,1.4055E-04,1.5061E-04,1.6049E-04,1.6531E-04,1.3685E-04,1.1316E-04
Spring,1.0426E-04,7.7103E-05,5.9916E-05,4.8725E-05,4.6349E-05,4.5713E-05,5.3072E-05,7.6480E-05,1.0319E-04,1.1846E-04,1.2862E-04,1.3025E-04,1.3087E-04,1.3553E-04,1.3935E-04,1.2686E-04,1.2224E-04,1.4129E-04,1.6138E-04,1.7270E-04,1.8344E-04,1.8917E-04,1.5687E-04,1.2962E-04
Summer,1.1481E-04,8.4912E-05,6.5990E-05,5.3726E-05,5.1123E-05,5.0431E-05,5.8027E-05,8.4172E-05,1.1300E-04,1.3025E-04,1.4099E-04,1.4325E-04,1.4391E-04,1.4899E-04,1.5334E-04,1.3939E-04,1.3423E-04,1.5448E-04,1.7693E-04,1.8967E-04,2.0240E-04,2.0758E-04,1.7242E-04,1.4253E-04
Fall,1.0543E-04,7.8163E-05,6.0729E-05,4.9401E-05,4.6932E-05,4.6367E-05,5.4342E-05,7.7425E-05,1.0434E-04,1.2001E-04,1.2995E-04,1.3172E-04,1.3249E-04,1.3692E-04,1.4091E-04,1.2815E-04,1.2334E-04,1.4366E-04,1.6313E-04,1.7464E-04,1.8643E-04,1.9152E-04,1.5847E-04,1.3158E-04
Summer Peak,1.3285E-04,1.0311E-04,8.0002E-05,6.2716E-05,6.1344E-05,5.7405E-05,6.2639E-05,8.0169E-05,1.1025E-04,1.5503E-04,2.0997E-04,2.3964E-04,2.2688E-04,2.1894E-04,2.3475E-04,2.1994E-04,2.0514E-04,2.1082E-04,2.3811E-04,2.4551E-04,2.4901E-04,2.4146E-04,2.0735E-04,1.7036E-04
Winter Peak,1.0800E-04,8.4064E-05,6.4911E-05,5.0940E-05,4.9665E-05,4.6895E-05,5.1754E-05,6.5135E-05,8.9732E-05,1.2603E-04,1.7067E-04,1.9469E-04,1.8448E-04,1.7806E-04,1.9078E-04,1.7883E-04,1.6732E-04,1.7534E-04,1.9425E-04,1.9938E-04,2.0124E-04,1.9777E-04,1.6979E-04,1.3874E-04
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
