,hard coal,natural gas nonpeaker,nuclear,onshore wind,hydro,solar PV,solar thermal,biomass,geothermal,petroleum,natural gas peaker,lignite,offshore wind
CO2,0.099491767,0.058872117,0,0,0,0,0,0.098408225,0,0.080922784,0.058872117,0.104978057,0
VOC,0.000002119,0.000001132,0,0,0,0,0,0.001266067,0,0.000005275,0.000001132,0.000001055,0
CO,0.000007279,0.000011241,0,0,0,0,0,0.004923594,0,0.000015826,0.000011241,0.000020046,0
NOx,0.000175963,0.000040019,0,0,0,0,0,0.000137157,0,0.000211011,0.000040019,0.000009496,0
PM10,0.000782660,0.000000106,0,0,0,0,0,0.000544518,0,0.000013895,0.000000106,0.000003345,0
PM25,0.000204173,0.000000106,0,0,0,0,0,0.000527502,0,0.000009812,0.000000106,0.000002574,0
SOx,0.000593288,0.000000000,0,0,0,0,0,0.000079129,0,0.002004606,0.000000000,0.000005275,0
BC,0.000001076,0.000000011,0,0,0,0,0,0.000064023,0,0.000000707,0.000000011,0.000000042,0
OC,0.000001466,0.000000074,0,0,0,0,0,0.000242534,0,0.000000306,0.000000074,0.000000042,0
CH4,0.000001055,0.000048533,0,0,0,0,0,0.000298932,0,0.000003165,0.000048533,0.000000000,0
N2O,0.000001477,0.000000106,0,0,0,0,0,0.000000000,0,0.000000633,0.000000106,0.000000106,0
F gases,0,0,0,0,0,0,0,0,0,0,0,0,0
