Unit: dimensionless (% of workers),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ISIC 01T03,0.0395913155,0.0377751988,0.0366929864,0.0356143671,0.0343654189,0.0329706795,0.0315608218,0.0298058389,0.0281322706,0.0270433328,0.0261114422,0.0249537397,0.0238334176,0.0227493854,0.0217005754,0.0206859426,0.0197044653,0.0187551449,0.0178370057,0.0169490955,0.0160904848,0.0152602671,0.0144575589,0.0136814989,0.0129312485,0.0122059911,0.011504932,0.0108272981,0.0101723376,0.0095393197,0.0089275342
ISIC 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC 09,0.009569378,0.0092789857,0.0091017459,0.0089227498,0.0087131194,0.0084769946,0.00823483,0.0079048292,0.0075704099,0.0073457158,0.007188412,0.0069581649,0.0067306883,0.0065059877,0.0062840678,0.0060649321,0.005848583,0.0056350216,0.005424248,0.0052162611,0.0050110585,0.0048086369,0.0046089914,0.0044121164,0.0042180048,0.0040266484,0.0038380382,0.0036521636,0.0034690134,0.003288575,0.003110835
ISIC 10T12,0.023006135,0.0221490949,0.0216403973,0.0211347867,0.0205468001,0.0198915248,0.019225423,0.0183334364,0.0174472844,0.0168694371,0.0164253172,0.0158212687,0.0152297155,0.0146504442,0.0140832459,0.0135279159,0.0129842533,0.0124520609,0.0119311446,0.0114213138,0.0109223808,0.0104341605,0.0099564708,0.0094891318,0.0090319661,0.0085847988,0.0081474568,0.0077197695,0.0073015678,0.0068926851,0.0064929564
ISIC 13T15,0.0135440181,0.0131000382,0.0128410148,0.0125819203,0.0122727075,0.0119173083,0.011553152,0.011069976,0.0105912359,0.0102789799,0.0100290821,0.0096929752,0.0093616474,0.0090350947,0.0087133119,0.0083962923,0.0080840278,0.0077765084,0.0074737227,0.0071756575,0.0068822977,0.0065936263,0.0063096247,0.0060302721,0.005755546,0.005485422,0.0052198738,0.0049588734,0.0047023908,0.0044503944,0.004202851
ISIC 16,0.0186046512,0.0179515102,0.0175651675,0.0171780296,0.0167223004,0.0162080613,0.0156825293,0.0149780346,0.0142781544,0.0138205351,0.0134773278,0.012998866,0.0125291258,0.0120680043,0.0116153997,0.011171211,0.0107353379,0.0103076807,0.0098881398,0.0094766161,0.0090730108,0.0086772249,0.0082891598,0.0079087165,0.0075357963,0.0071703003,0.0068121295,0.0064611846,0.0061173666,0.0057805761,0.0054507136
ISIC 17T18,0.0062421973,0.0060816142,0.0059892955,0.0058954146,0.0057783415,0.005635898,0.0054894533,0.0052889763,0.0050861399,0.004951498,0.0048615454,0.0047211118,0.0045813462,0.00444229,0.004303984,0.004166468,0.0040297808,0.0038939605,0.0037590436,0.003625066,0.003492062,0.0033600648,0.0032291064,0.0030992173,0.0029704266,0.0028427623,0.0027162507,0.0025909168,0.0024667842,0.0023438749,0.0022222097
ISIC 19,0.0051813472,0.0050452645,0.004961813,0.0048769096,0.0047760312,0.0046598121,0.0045404486,0.0043747867,0.0042043904,0.0040883131,0.0040136649,0.0038964604,0.0037799718,0.0036642254,0.0035492466,0.0034350599,0.003321689,0.0032091564,0.003097484,0.0029866923,0.0028768011,0.0027678292,0.0026597943,0.0025527132,0.0024466017,0.0023414745,0.0022373455,0.0021342276,0.0020321326,0.0019310715,0.0018310544
ISIC 20,0.0061652281,0.0060070464,0.0059173593,0.0058262881,0.0057120259,0.0055727393,0.0054291206,0.0052325994,0.0050344404,0.0049040667,0.0048141237,0.0046762519,0.0045389585,0.004402286,0.0042662759,0.0041309694,0.0039964065,0.0038626264,0.0037296672,0.0035975661,0.003466359,0.0033360806,0.0032067645,0.003078443,0.0029511468,0.0028249057,0.0026997477,0.0025756997,0.0024527871,0.0023310337,0.0022104622
ISIC 21,0.0014992504,0.0014686046,0.0014499627,0.0014306639,0.0014068719,0.0013781006,0.0013485506,0.0013048421,0.0012584585,0.001226469,0.0012111307,0.0011804214,0.0011496211,0.0011187428,0.0010877992,0.0010568029,0.0010257664,0.0009947019,0.0009636217,0.0009325374,0.000901461,0.0008704037,0.0008393768,0.0008083914,0.0007774581,0.0007465874,0.0007157895,0.0006850742,0.0006544513,0.0006239301,0.0005935196
ISIC 22,0.0109289617,0.0106050081,0.0104231014,0.0102413904,0.010017128,0.009749854,0.0094750722,0.0091076347,0.0087429804,0.0085076385,0.0083219752,0.0080651177,0.0078106794,0.0075586873,0.0073091682,0.0070621485,0.0068176541,0.0065757101,0.0063363408,0.0060995697,0.005865419,0.00563391,0.0054050626,0.0051788954,0.0049554258,0.0047346694,0.0045166408,0.0043013527,0.0040888164,0.0038790417,0.0036720367
ISIC 231,0.0162601626,0.0157333819,0.0154300576,0.0151190479,0.0147366422,0.0142851071,0.0138194897,0.0131994055,0.0125895759,0.0121915633,0.0119215005,0.0115094377,0.0111041144,0.0107054817,0.0103134907,0.0099280917,0.0095492349,0.0091768697,0.0088109446,0.0084514075,0.0080982052,0.0077512835,0.0074105873,0.00707606,0.0067476445,0.0064252819,0.0061089126,0.0057984758,0.0054939093,0.0051951502,0.0049021342
ISIC 239,0.0139372822,0.0134888303,0.0132364233,0.0129811893,0.0126661048,0.0122938175,0.0119086097,0.0114055923,0.0109156248,0.0106005804,0.0103481981,0.0100037332,0.0096641124,0.0093293229,0.0089993519,0.0086741856,0.0083538098,0.0080382093,0.0077273678,0.0074212681,0.0071198918,0.006823219,0.0065312288,0.0062438989,0.0059612055,0.0056831233,0.0054096257,0.0051406848,0.004876271,0.0046163534,0.0043608997
ISIC 241,0.0078125,0.0075976429,0.0074824411,0.0073672652,0.007220871,0.0070437572,0.0068590999,0.006611663,0.0063683273,0.0062157156,0.0060842113,0.0059090281,0.0057346808,0.0055612145,0.0053886736,0.0052171026,0.0050465451,0.0048770443,0.0047086425,0.0045413811,0.0043753006,0.0042104406,0.0040468392,0.0038845336,0.0037235595,0.0035639515,0.0034057425,0.0032489641,0.0030936466,0.0029398186,0.0027875071
ISIC 242,0.0142857143,0.0138691623,0.0136327904,0.0133927512,0.013092582,0.0127263946,0.0123523963,0.0118409386,0.0113277945,0.0109906517,0.0107838772,0.0104417142,0.0101035233,0.0097692991,0.0094390376,0.0091127353,0.0087903899,0.0084719992,0.0081575613,0.0078470747,0.0075405375,0.0072379478,0.0069393032,0.0066446011,0.0063538379,0.0060670096,0.0057841114,0.0055051374,0.0052300811,0.0049589347,0.0046916895
ISIC 25,0.0147058824,0.0142329346,0.0139646705,0.0136970305,0.0133705051,0.0129851664,0.0125907603,0.0120685336,0.0115532396,0.0112205612,0.0109561314,0.0105953128,0.0102393229,0.0098881536,0.009541797,0.0092002452,0.0088634899,0.0085315226,0.0082043341,0.0078819145,0.0075642528,0.0072513372,0.0069431545,0.0066396905,0.0063409294,0.0060468543,0.0057574466,0.0054726863,0.005192552,0.0049170204,0.0046460671
ISIC 26,0.0096246391,0.0093478831,0.0091872793,0.0090253609,0.0088273405,0.0085913628,0.0083498393,0.0080243894,0.0076977021,0.0074815161,0.0073279682,0.0071012072,0.006876564,0.0066540705,0.0064337577,0.0062156554,0.0059997924,0.0057861963,0.0055748933,0.0053659083,0.0051592646,0.0049549841,0.004753087,0.004553592,0.0043565161,0.0041618748,0.0039696815,0.0037799483,0.0035926855,0.0034079017,0.0032256036
ISIC 27,0.0106666667,0.010345838,0.0101578487,0.0099696115,0.0097442457,0.0094836423,0.0092168447,0.008853709,0.0084879403,0.0082473045,0.0080688631,0.0078148498,0.0075634991,0.0073148361,0.0070688852,0.0068256695,0.0065852111,0.0063475305,0.0061126473,0.0058805793,0.005651343,0.0054249533,0.0052014235,0.0049807652,0.0047629886,0.0045481019,0.0043361119,0.0041270235,0.00392084,0.0037175631,0.0035171927
ISIC 28,0.0080428954,0.007822837,0.007699123,0.0075732043,0.0074158243,0.00722724,0.0070315218,0.0067646411,0.0064982717,0.006325637,0.0062014609,0.0060165002,0.0058327904,0.005650376,0.0054693004,0.0052896058,0.0051113333,0.0049345227,0.0047592126,0.0045854399,0.0044132401,0.0042426472,0.0040736934,0.0039064094,0.0037408242,0.0035769651,0.0034148575,0.0032545252,0.0030959903,0.0029392729,0.0027843916
ISIC 29,0.0094936709,0.0092291621,0.0090738144,0.0089178323,0.0087301725,0.0085115663,0.0082882835,0.0079734663,0.007650581,0.0074367752,0.0072976325,0.0070792623,0.0068625889,0.0066476419,0.0064344503,0.0062230429,0.0060134479,0.005805693,0.005599805,0.0053958101,0.0051937336,0.0049935997,0.0047954319,0.0045992524,0.0044050825,0.0042129423,0.0040228506,0.0038348251,0.0036488824,0.0034650375,0.0032833046
ISIC 30,0.0028846154,0.0028174836,0.0027798562,0.002742404,0.0026956389,0.0026389431,0.0025805164,0.002498906,0.0024153199,0.0023606752,0.0023191857,0.002259418,0.0021995074,0.0021394794,0.0020793596,0.0020191735,0.0019589462,0.0018987027,0.0018384678,0.0017782658,0.0017181206,0.0016580559,0.0015980948,0.0015382599,0.0014785735,0.0014190571,0.0013597319,0.0013006184,0.0012417365,0.0011831054,0.001124744
ISIC 31T33,0.0118187787,0.0114606791,0.0112523373,0.0110418141,0.0107864157,0.0104869888,0.0101797683,0.0097641796,0.0093484097,0.0090750864,0.008881566,0.0085958633,0.0083135325,0.0080345901,0.0077590513,0.0074869306,0.0072182411,0.0069529946,0.0066912016,0.0064328709,0.0061780101,0.0059266248,0.0056787193,0.0054342959,0.0051933554,0.0049558968,0.0047219174,0.0044914126,0.0042643764,0.0040408007,0.0038206759
ISIC 351,0.0040431267,0.0039458727,0.0038917382,0.0038378547,0.0037702721,0.0036879867,0.0036032243,0.0034858327,0.0033663274,0.0032884712,0.003229376,0.0031442389,0.0030590462,0.0029738295,0.0028886202,0.0028034494,0.0027183482,0.0026333473,0.002548477,0.0024637672,0.0023792475,0.0022949468,0.0022108937,0.0021271159,0.0020436408,0.0019604949,0.0018777041,0.0017952936,0.0017132879,0.0016317107,0.0015505848
ISIC 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC 36T39,0.0084134615,0.0081839393,0.008052347,0.0079196691,0.007755204,0.0075557463,0.0073517072,0.0070747649,0.0067956863,0.0066111911,0.0064834692,0.0062900224,0.0060979313,0.0059072358,0.0057179752,0.0055301881,0.0053439124,0.0051591847,0.0049760409,0.0047945154,0.0046146416,0.0044364515,0.0042599756,0.0040852433,0.0039122822,0.0037411184,0.0035717767,0.00340428,0.0032386498,0.0030749059,0.0029130665
ISIC 41T43,0.018448132,0.0177995978,0.0174152903,0.0170293966,0.0165744236,0.0160598618,0.0155336677,0.0148327189,0.0141380211,0.0136824533,0.0133415247,0.0128658493,0.0123990045,0.0119408797,0.0114913655,0.011050353,0.0106177345,0.0101934025,0.0097772505,0.0093691721,0.0089690613,0.0085768126,0.0081923205,0.0078154798,0.0074461854,0.0070843325,0.0067298163,0.0063825321,0.0060423755,0.0057092419,0.0053830271
ISIC 45T47,0.0630331754,0.0599533523,0.0581626388,0.0563906924,0.0543520417,0.0521439862,0.0498967246,0.0469806296,0.0441846709,0.0424292673,0.0409208047,0.039041451,0.0372262974,0.0354734267,0.0337809524,0.0321470221,0.030569819,0.0290475636,0.0275785152,0.0261609729,0.0247932762,0.0234738058,0.0222009836,0.0209732729,0.0197891786,0.0186472468,0.0175460644,0.0164842592,0.0154604989,0.0144734905,0.0135219804
ISIC 49T53,0.018268024,0.0176394476,0.0172748623,0.0169093898,0.0164730196,0.015973947,0.0154625424,0.0147774303,0.0140995799,0.0136607169,0.0133269133,0.0128621069,0.0124052297,0.0119562047,0.0115149557,0.0110814072,0.010655484,0.0102371113,0.0098262144,0.0094227185,0.0090265486,0.0086376295,0.0082558858,0.0078812415,0.0075136199,0.0071529443,0.0067991369,0.0064521197,0.0061118137,0.0057781396,0.0054510174
ISIC 55T56,0.1876337425,0.1775421726,0.171620464,0.1656948838,0.1589076968,0.151765955,0.1443689107,0.1346256095,0.1253202827,0.1195876189,0.1144989744,0.1083044088,0.1023536381,0.0966437824,0.0911710664,0.0859309496,0.0809182476,0.0761272449,0.0715517972,0.0671854255,0.0630213994,0.0590528129,0.05527265,0.0516738435,0.0482493253,0.0449920698,0.0418951311,0.0389516745,0.0361550018,0.0334985729,0.0309760223
