Unit: dimensionless (% of output purchased),ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
agriculture and forestry 01T03,0.125043464,0.000201178,0,0.000556345,0.000203662,0.7511872,0,0,0.008079418,0.000988506,0.011452865,0.001949084,0.003812452,0.000146298,7.22659E-05,0.000484318,0,0,0,0,0,0.000623404,0,0.026920631,0,0,0,0.004403569,0.01597256,0.001117657,0.027424819,0.000288107,2.23531E-05,2.23531E-05,0.000320395,0.000946283,0.003626176,0.008183733,0.002041587,0.002436492,0.001472824,0
coal mining 05,0.001001963,0,0.005885803,0.000377533,0.00475721,0.002213649,0,0,0.000752536,0,0.79851246,0.134882971,0,0,0,0,0.008174909,0,0,0,0,0,0,0.000538001,0.033290757,0.000153578,2.56857E-06,0,0,0.005524152,0.00120492,7.63443E-05,0.000115783,6.20291E-06,0.000326251,0.000772399,0,0,0.000495366,0.000934642,0,0
oil and gas extraction 06,0.015012747,0,0.088991245,0.005708166,0.067798033,0.031173247,0,0,0.011389626,0,0,0,0,0,0,0,0.123724742,0,0,0,0,0,0,0.008247485,0.503266017,0.002321421,3.75651E-05,0,0,0.0835386,0.018215122,0.00115399,0.001693311,9.34435E-05,0.004721479,0.011453844,0,0,0.007432793,0.014027124,0,0
other mining and quarrying 07T08,0.004077509,0.001439121,0,0.044576404,0.004324631,0.002958193,0,0,0.003372485,0.070516921,0.047679449,0.008017434,0.00097395,0.083140028,0.040776997,0.491423421,0,0,0,0,0,0.004004826,0,0.039423189,0,0,0,0.131221654,0.003452436,0.004542679,0.000334341,3.63414E-05,3.63414E-05,7.26829E-06,0.000218049,0.005967264,0.001010292,0.005531166,0.000218049,0.000152634,0.000566926,0
food beverage and tobacco 10T12,0.126969996,0.000248961,0,0.000463972,0.000275366,0.541636804,0,0,0.004024866,0.003994689,0.036064297,0.006085517,0.003904158,0.001278583,0.000626344,0.001829485,0,0,0,0,0,0.0063485,0,0.024530181,0,0,0,0.00668422,0.02818915,0.004024866,0.131394708,0.000965666,0.000373441,0.000109392,0.001576752,0.00199923,0.005450732,0.026853815,0.007265128,0.019856508,0.006974674,0
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulp paper and printing 17T18,0.006481911,0,0.000858802,0.002699092,0.000790643,0.109803975,0,0,0.29660705,0.005302762,0,0,0.016167289,0,0,0,0.004266747,0,0,0,0,0.049537883,0,0.108474877,0.005121988,2.3618E-05,3.90008E-07,0.018518771,0.073066332,0.022056217,0.019118569,0.031782491,0.006952207,0.002521879,0.054397612,0.011089452,0.040397775,0.054472586,0.026002617,0.019670656,0.013815807,0
refined petroleum and coke 19,0.034526625,0.007702515,0,0.016457641,0.008483243,0.019388488,0,0,0.004878925,0.144304928,0.058528073,0.009886626,0.005046045,0.013145618,0.006444912,0.025474672,0,0,0,0,0,0.018707534,0,0.036344997,0,0,0,0.05298223,0.04038333,0.384654335,0.006929271,0.002042863,0.002728806,0.000611113,0.014442216,0.010957626,0.016475102,0.037337743,0.006258294,0.009049458,0.005826773,0
chemicals 20,0.072665087,0.005106608,0.000877449,0.011176344,0.004295486,0.038083055,0,0,0.034051492,0.088336206,0,0,0.147619304,0.02096903,0.01027895,0.035942602,0.000470734,0,0,0,0,0.092047291,0,0.190342562,0.012976188,6.00522E-05,1.03265E-06,0.048537649,0.019236777,0.020074329,0.006172574,0.003851126,0.000856404,0.000231606,0.003934612,0.014930518,0.014782398,0.016260907,0.006471507,0.067906388,0.011453733,0
rubber and plastic products 22,0.007351331,0,0.003441049,0.006251983,0.003293575,0.083532572,0,0,0.012915104,0.006797188,0,0,0.084868771,0,0,0,0.010233768,0,0,0,0,0.289097239,0,0.21197753,0.005435487,2.50834E-05,4.18728E-07,0.11081964,0.043571719,0.055753925,0.006850815,0.001841184,0.003727058,0.000375387,0.004875564,0.008705406,0.010957729,0.011663814,0.002717088,0.008969071,0.003950503,0
glass and glass products 231,0.038928884,0,0.013479112,0.055956048,0.020926088,0.306609481,0,0,0.011239236,0,0,0,0,0,0,0,0.084593064,0,0,0,0,0,0,0.098468685,0.036576931,0.000169093,2.81773E-06,0,0,0.060585626,0.035241528,0.003859427,0.006663368,0.000769872,0.014272087,0.151837946,0,0,0.023736648,0.036084059,0,0
cement and other nonmetallic minerals 239,0.038992488,0,0.013568703,0.056327971,0.020872452,0.305877842,0,0,0.01146349,0,0,0,0,0,0,0,0.086056221,0,0,0,0,0,0,0.100325504,0.03683879,0.00017003,2.82471E-06,0,0,0.060947622,0.035493827,0.003880814,0.006679884,0.000936362,0.014476949,0.152012648,0,0,0.022283162,0.032792415,0,0
iron and steel 241,0.005484696,0,0.01157954,0.014253438,0.021679219,0.027863608,0,0,0.012978189,0,0,0,0,0,0,0,0.449712746,0,0,0,0,0,0,0.401883741,0.017669282,8.12617E-05,1.36217E-06,0,0,0.023112463,0.000970543,0.000428845,0.002426357,0.000112854,0.001895944,0.004006311,0,0,0.001263963,0.002595638,0,0
other metals 242,0,0.000190659,0,0,0,0,0,0,0,0.003067154,0.005763533,0.000969725,0.004245309,0.005707119,0.002780208,0.100481736,0,0,0,0,0,0.2978035,0,0.407760298,0,0,0,0.163395038,0.004222273,0,0,0,0,0,0,0,0.001046518,0.001856089,0,0,0.000710842,0
metal products except machinery and vehicles 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
